"Year week","Pizza","Price offer","Christmas","New year","17th of May - National day","Easter","Kr. Himmelfart (Ascension day)","Pinse (pentecost)","Summer vacation","Temperature","Precipitation","Sun","Campaign 1","Campaign 2","Campaign 3","Campaign 4","Campaign 5","Campaign 6","Campaign 7","Campaign 8","Campaign 9","Campaign 10","Campaign 11","Campaign 12","Campaign 13","Campaign 14","Campaign 15","Campaign 16","Campaign17","Campaign 18","Competitor 1","Competitor 2","Competitor 3","Competitor 4","Competitor 5","Competitor 6","Competitor 7"
"38",131.086194814296,1.15135679260552,0,0,0,0,0,0,0,8.829242738113,15.0118162260504,8.89058515642984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4,0
"39",189.256715720626,15.366296293894,0,0,0,0,0,0,0,9.88538021084204,19.8290769814819,7.65351221245583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.8,0
"40",110.715253445457,0.513401420767722,0,0,0,0,0,0,0,6.26530341993669,46.0788612715486,5.59028892227045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.9,0
"41",111.790703106751,0.380164791341113,0,0,0,0,0,0,0,8.51062146541318,35.8784905608828,7.68223350500516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.4,10.3,0,0,97.8,0
"42",116.484933426769,0.199503728663552,0,0,0,0,0,0,0,6.0318814211875,25.3715945523096,6.72874852372489,0,0,1.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.5,158.4,0,117.4,79,0
"43",172.724129876197,9.57717802193301,0,0,0,0,0,0,0,7.6096346544891,54.487025744162,5.13512479347212,0,0,64.6,86.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.6,0,149.8,94.1,0
"44",124.380284980145,1.56948180755286,0,0,0,0,0,0,0,0.730895451104638,19.3710753423206,10.9640099473205,0,0,124.2,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,248.2,0,137.2,81.9,0
"45",120.996028965195,1.61494353200588,0,0,0,0,0,0,0,3.15812299475924,18.9063296127487,6.10364148323548,0,0,102,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.7,0,0,100.1,0
"46",118.241532352254,0.704480424883898,0,0,0,0,0,0,0,2.71807594521321,39.4620890934865,7.41708742509435,0,0,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.6,0,114.7,118.1,0
"47",175.374912403644,15.6674138615816,0,0,0,0,0,0,0,-0.0475496631932855,27.416571058615,8.10198997429111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.1,0,0.3,99.7,0
"48",118.766643307638,0.695558836479439,0,0,0,0,0,0,0,0.655241219316599,26.6279114005646,4.55651329809421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.4,0
"49",115.394533987386,0.133403827233946,0,0,0,0,0,0,0,-2.71725271825158,10.0263661316006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5,0
"50",129.653819201121,0.673166645252902,0,0,0,0,0,0,0,-3.22914745962168,15.5885275147355,10.4984427626966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.7,0
"51",128.309273534221,0.662442881290076,0,0,0,0,0,0,0,2.16813296882783,27.174440282527,2.18769465466292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0
"52",66.8740948376547,0.459950468179556,1,0,0,0,0,0,0,-0.933006832627912,8.0910200899181,4.5015572373034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.1,0
"2019-1",222.388227049755,20.1518461280197,0,1,0,0,0,0,0,-5.08828144602876,12.5545554201476,6.60597530932671,0,0,2.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2,0
"2019-2",110.213501518337,0.00817319174454818,0,0,0,0,0,0,0,-1.45809573697952,31.8709449313051,5.06437231057927,0,0,58.6,78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5,0
"2019-3",112.61480962392,0.0502164611876575,0,0,0,0,0,0,0,-0.974882495082526,23.3883963839281,5.2256095433828,0,0,123.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.8,0,0,0,51.1,0
"2019-4",166.463910301332,6.86602327002206,0,0,0,0,0,0,0,0.47813381217321,39.3864172927109,2.46054816287888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.3,0,0,0,48.8,0
"2019-5",107.312310207895,1.3192594408862,0,0,0,0,0,0,0,-3.70493087461566,1.33023389407674,4.05585795701716,0,0,104.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,0,0,0,50.5,0
"6",94.4293389395001,0.589141039916766,0,0,0,0,0,0,0,-6.28222247968695,20.9472208772263,3.39136539755185,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.3,0,0,116.7,0
